title,user name,date,comments,views,up votes
Bus Driver Killed Market Worker During a Dispute ,User404,06/06/2022,35,93506,56
Homicide victim gushing blood,jason2000,06/06/2022,11,8862,10
Old man and his crushed head,jason2000,06/06/2022,14,4990,4
Driver in critical condition,jason2000,06/06/2022,11,4850,6
Houston Officer Shoots Man After He Charged Them With Pieces Of Glass in His Hands,User404,06/06/2022,30,39502,24
Sleeping Street Vendor Fatally Stabbed By Rival,BruceLeroy,06/06/2022,24,47404,21
Raiders met death,krakenbrutal,06/06/2022,12,6492,11
Woman crushed by bus,krakenbrutal,06/06/2022,5,4412,3
stabbed to death,krakenbrutal,06/06/2022,7,5994,5
Brazilian shots and screams,jason2000,06/06/2022,11,5480,6
HOLY SHIT: Indonesian Biker Destroyed By Train,krakenbrutal,06/06/2022,18,35082,26
They find a man beheaded by rivals,Puligore,06/06/2022,6,5598,5
Always Be Ready To Meet Sicario In Colombia.,krakenbrutal,06/06/2022,14,43846,26
Nice to ride a motorbike in Ecuador,Fenrir666,06/06/2022,5,5052,10
Alleged informer strung up and tortured.,Razzia,06/06/2022,59,160640,92
Motorbikes fly in India,Fenrir666,06/06/2022,6,8768,14
woman with shattered leg after accident,Puligore,06/06/2022,13,15952,6
IS Attacks and Beheads infidel Christians in the region Cabo Delgado ,DeathBeforeDishonor1,06/06/2022,25,64804,18
Zaporozhye direction. Close combat of the MTR ,nurgeld,06/06/2022,19,49062,36
Donetsk Region. Russians Thought They Went for a walk on Uk,nurgeld,06/06/2022,22,61686,49
Elderly man found with a cut on his neck,krakenbrutal,06/06/2022,5,3970,4
Acrobatic show ended in disgrace,krakenbrutal,06/06/2022,11,8454,6
Man dying after bullet impact,krakenbrutal,06/06/2022,6,6206,2
"Quick Kill, Headshot.",krakenbrutal,06/06/2022,9,44390,16
Friend dies on the truck tires,krakenbrutal,06/06/2022,11,5902,2
Friend stabbed to death,krakenbrutal,06/06/2022,2,5688,2
Armed man brutally beaten,krakenbrutal,06/06/2022,8,4600,6
Entire family commits suicide in India,Razzia,06/06/2022,25,13696,6
woman with electronic anklet beats up a fat woman,jason2000,05/06/2022,16,12114,12
Hungry dog for human flesh,jason2000,05/06/2022,14,8496,5
Accident in kazakhstan,Roger_From_England,05/06/2022,12,3920,6
Russia Fast & Furious man dies in Naberezhnye,Roger_From_England,05/06/2022,24,21740,17
sedan car crushed a man's legs at a petrol station in Zhenjiang,Roger_From_England,05/06/2022,12,3702,9
Last Job Of Scrapyard Worker,jason2000,05/06/2022,41,55500,43
Man on his bike crashed his head into a BMW rear windshield in Guangdong,Roger_From_England,05/06/2022,7,2906,6
dead man victim of hitman attack,NevadaTAN,05/06/2022,7,2908,3
motorcycle thieves being brutally punished,NevadaTAN,05/06/2022,14,9774,15
Accident in Anhui,Roger_From_England,05/06/2022,7,2598,7
Cleaning man died after woman in a car crashed into him in Shaanxi,Roger_From_England,05/06/2022,16,6694,5
Zebra crossing Accident in Changde City,Roger_From_England,05/06/2022,4,2082,4
Motorcyclists collision in Yuan'an County,Roger_From_England,05/06/2022,5,1994,5
Accident in Jiangxi,Roger_From_England,05/06/2022,5,2884,6
360° Accident in Shanxi,Roger_From_England,05/06/2022,15,24012,21
Woman was hit by a car in Huzhou,Roger_From_England,05/06/2022,5,2460,3
Dozens Killed In Terrorist Attack At Catholic Church In Nigeria,BruceLeroy,05/06/2022,101,155512,70
"Chemical factory explosion in Hapur, India",Razzia,05/06/2022,16,8510,12
Marriage Counseling Hits Different In Colombia,NevadaTAN,05/06/2022,47,143292,78
The Man Decides to Blow His Brains Out,krakenbrutal,05/06/2022,51,133288,76
brutally murdered with a machete,krakenbrutal,05/06/2022,12,7036,11
foiled assault,krakenbrutal,05/06/2022,8,6040,9
Woman hit with a Kill Shot.,krakenbrutal,05/06/2022,17,31840,18
Boy crushed by truck,krakenbrutal,05/06/2022,7,5006,5
gas station shooting,krakenbrutal,05/06/2022,14,7886,6
Mobile Phone Isn't Worth Your Life,BruceLeroy,04/06/2022,47,86650,41
Lad Tasered By Police In Critical Condition After Jumping From Bridge,BruceLeroy,04/06/2022,38,32636,27
"Accused Of Affair, Woman Strangled By Husband",BruceLeroy,04/06/2022,69,183114,85
Speeding Biker Turned Into Roadkill After Hitting Barrier,BruceLeroy,04/06/2022,36,42720,38
The bus crushes heads,Deibisgore,04/06/2022,11,6668,9
man dead in motorcycle accident,NevadaTAN,04/06/2022,5,2438,2
turkey:rize umman's tourist drowned,ahavasora,04/06/2022,27,13112,12
the bodies of young people killed in Panjshir.,Razzia,04/06/2022,8,7364,3
Woman Falls Under Oncoming Passenger Train,jason2000,04/06/2022,26,48884,23
Man Chased & Hacked To Death In The Busy Street,BruceLeroy,04/06/2022,25,43208,23
Police Officer Murders Ex-Partner Then Blows His Brains Out,krakenbrutal,04/06/2022,62,146702,88
Woman burned to the bone,krakenbrutal,04/06/2022,13,7234,5
Mentally ill girl set herself on fire.,krakenbrutal,04/06/2022,17,11596,11
dead on the road,krakenbrutal,04/06/2022,9,2984,5
Man shot dead,krakenbrutal,04/06/2022,5,3578,4
Punjabi Man In Trouble Over Past Rivalry,Razzia,04/06/2022,31,18102,26
Killed by police,jason2000,04/06/2022,9,5248,7
Chinese woman killed by speeding car,jason2000,04/06/2022,14,4868,5
Ashole run over two women,krakenbrutal,04/06/2022,13,6286,5
Man shoots himself in the head (Clean Version) ,krakenbrutal,04/06/2022,57,223580,78
bombing victims,krakenbrutal,04/06/2022,20,22232,11
Young man dies run over,krakenbrutal,04/06/2022,13,6122,5
Woman in duel with knives,krakenbrutal,04/06/2022,16,6674,4
Students were good bowling pins,krakenbrutal,04/06/2022,15,5918,3
Shot to death in Santo Domingo(extender) ,krakenbrutal,04/06/2022,9,8580,4
Dude standing in the wrong place,krakenbrutal,04/06/2022,10,5632,3
"Mayor of Tlalnepantla, Morelos, was attacked with bullets",krakenbrutal,04/06/2022,10,16964,12
Cold Blooded Street Execution Caught On CellPhone Cam In Santo Domingo,krakenbrutal,04/06/2022,15,43100,21
Man killed while waiting for his girlfriend,krakenbrutal,04/06/2022,10,5682,2
thief therapy,krakenbrutal,04/06/2022,7,4012,1
pick the wrong time to go out,krakenbrutal,04/06/2022,8,4310,5
Woman stabbed,krakenbrutal,04/06/2022,8,7008,7
Colombian Sicario Cowardly Shoots Man In The Head,Razzia,04/06/2022,14,35300,19
Murdered Family (The moment of the removal of the assassin's corpse),sovkhan,04/06/2022,9,5496,4
Fight ends in lynching,jason2000,03/06/2022,14,15412,9
Police explode thief's head,jason2000,03/06/2022,19,9840,11
MUERTE RUSKIE,-GIZMO-,03/06/2022,12,27704,53
Fatally Stabbed for Starting a Fight In Colombia,Razzia,03/06/2022,22,41256,27
Play Stupid Games..!,BruceLeroy,03/06/2022,58,73346,68
Ukrainian Special Forces Assaulting a Russian Position,EpicBomb,03/06/2022,68,144202,98
Another Dead Orcs In Izum Kharkiv,EpicBomb,03/06/2022,34,32246,36
Dude Commits Suicide with Gun.,NevadaTAN,03/06/2022,22,28866,18
Death Can Strike At Any Moment,BruceLeroy,02/06/2022,148,183820,109
More aftermath of a charred man,jason2000,02/06/2022,16,5332,7
Naked Lady Smacks Elderly Woman Walking,TheIsaiahB47,02/06/2022,37,39928,32
two soldiers attacked and wounded,NevadaTAN,02/06/2022,19,6150,7
victim's crushed head,jason2000,02/06/2022,31,49390,35
UBER Delivery Guy Fatally Shot By Thief,jason2000,02/06/2022,24,29446,17
Salvador's footsteps,jason2000,02/06/2022,12,11706,7
very crunchy man,krakenbrutal,02/06/2022,13,5140,5
Great Explosion in Colombia,krakenbrutal,02/06/2022,13,7616,8
Man stabbed in robbery,krakenbrutal,02/06/2022,5,3632,9
Saint Javelin At Work,-GIZMO-,02/06/2022,15,17130,34
Robbery Pass Revoked In Karachi,BruceLeroy,02/06/2022,16,36082,39
Wait for the Fight Moment to Kill,krakenbrutal,02/06/2022,30,62638,39
Murdered Family,krakenbrutal,02/06/2022,56,238046,81
Thief Receives Pelotherapy,Puligore,02/06/2022,20,54562,23
pain and suffering with shattered leg after accident,Puligore,02/06/2022,13,7278,3
"Extreme Pain, Legs Crushed by Tactor",jason2000,02/06/2022,44,58442,45
ukraine,nguyenchan2005,02/06/2022,12,16266,9
Woman found dead in field,krakenbrutal,02/06/2022,34,81200,44
Alláhu akbar,krakenbrutal,02/06/2022,14,10898,9
Knife and Machete Attack at Vancouver Gas Station,TheIsaiahB47,02/06/2022,12,4904,10
Young man shot to death,krakenbrutal,02/06/2022,10,5070,5
murdered old woman,krakenbrutal,02/06/2022,8,3198,3
 Thief Robbing Innocent People Inside Bus In Mexico Gets Brutal Beating,krakenbrutal,02/06/2022,32,83408,113
Pretty Girl Loses Her Life in Tragic Accident,krakenbrutal,02/06/2022,25,95380,29
Cyclist crushed to death,krakenbrutal,02/06/2022,15,5354,7
man shot in the head,krakenbrutal,02/06/2022,9,4730,3
man cast coal,krakenbrutal,02/06/2022,7,2452,2
"Death road, biker crushed by truck",jason2000,01/06/2022,20,4970,9
revenge for drug debts two people are killed with multiple shots,Puligore,01/06/2022,12,10274,6
First On Scene and Up Close..Entire Family Wiped Out in Gory Mess on the Highway.,InnerInsanity,01/06/2022,29,154238,54
Motorcycle crashes into a car in Panzhihua City,Roger_From_England,01/06/2022,5,2158,5
Accident in Chizhou,Roger_From_England,01/06/2022,5,1936,6
Playing Hero During Armed Robbery Backfires,BruceLeroy,01/06/2022,32,45370,30
Zebra crossing Accident in Chuzhou City,Roger_From_England,01/06/2022,9,2174,7
Accident in Ya'an City,Roger_From_England,01/06/2022,7,1700,4
man hit by runaway car,jason2000,01/06/2022,7,2362,7
Brutal machete blow in neck,jason2000,01/06/2022,7,7632,10
motorcycles collided into each other in Guizhou,Roger_From_England,01/06/2022,6,3172,8
10 year old boy was hit by a car in Zhejiang,Roger_From_England,01/06/2022,7,1876,4
Zebra crossing Accident in Guangdong,Roger_From_England,01/06/2022,6,1428,4
Motorcyclist dies in a Accident in Guangdong,Roger_From_England,01/06/2022,6,1524,4
Tanker crashed into a petrol station in Sichuan,Roger_From_England,01/06/2022,5,2696,5
Two Ghanaian Lovers Flogged For Leaking Their Sex Tape,User404,01/06/2022,38,113596,53
Gone In A Flash...,BruceLeroy,01/06/2022,35,54614,34
Ukrainian mail quickly delivers your orders,nurgeld,01/06/2022,14,16904,32
Dude On Bike Flattened By Bus ( Action & Aftermath) ,Puligore,01/06/2022,29,52532,43
"unfortunately, man dies with his head crushed in accident",Puligore,01/06/2022,7,6086,4
thief is brutally beaten,Puligore,01/06/2022,11,8694,9
Murdered Tranny Found Floating In River,jason2000,01/06/2022,53,101130,47
Poor Girl Mauled by Huge Dog,jason2000,01/06/2022,34,66640,35
Never rob another thief in Brazil,jason2000,01/06/2022,15,18710,8
Surviving In Crash Isn't Pretty,jason2000,01/06/2022,92,248260,113
"Destroyer rocket, man has his hand broken with rocket",jason2000,01/06/2022,18,10204,12
Intense war of Azov SSO in Mariupol,EpicBomb,01/06/2022,19,88858,60
Dude Dies on Truck Tires,krakenbrutal,01/06/2022,9,3602,4
Man attacked by horse,krakenbrutal,01/06/2022,16,6254,9
Thief in latest motorcycle robbery,jason2000,31/05/2022,7,7002,6
San Francisco Cops Murder Two Homeless Men Fighting With Knifes,User404,31/05/2022,76,108478,61
"Damn, biker got his leg ripped off when he hit a bumper",jason2000,31/05/2022,12,5396,8
Coward Hanged Himself After Strangling Children & Wife,BruceLeroy,31/05/2022,44,53360,24
Man Sets Himself on Fire at Istanbul Tourist Attraction as Onlookers Take Selfies (Full),User404,31/05/2022,75,118216,82
Panama City hoodlum store theft goes wrong.,Kazakh255,31/05/2022,14,33466,36
Man burn himself in Istanbul / Turkey,turkishkebab,31/05/2022,10,10194,14
"Welcome to Ukraine, SUKA2",nurgeld,31/05/2022,40,62016,70
turkey old syrian woman beaten up,ahavasora,31/05/2022,12,5556,11
{Full Version} New Brazilian Savagery Beheaded And Disembowelled ,TheFriendlyPsychopath,31/05/2022,26,64832,38
Orcs Run Into Their Grave,-GIZMO-,31/05/2022,15,25412,27
How Some Countries Take Care of Rapists,krakenbrutal,31/05/2022,23,61592,27
Child Abductor Dealt With Accordingly By Mob,BruceLeroy,31/05/2022,40,76630,39
Dude Brutally Beaten to Death In Russia,krakenbrutal,31/05/2022,22,58102,32
Moronic Guard Shoots Himself While Sleeping on the Job,Razzia,31/05/2022,31,96294,52
inflated man,jason2000,31/05/2022,12,5820,3
fuck i was born an idiot,jason2000,31/05/2022,21,19512,10
Police seriously injured after ramming parked car,krakenbrutal,31/05/2022,11,6050,5
Shot and killed by police,krakenbrutal,31/05/2022,12,6730,7
plane crash victims,krakenbrutal,31/05/2022,12,13360,7
He killed an old woman and got what he deserved,krakenbrutal,31/05/2022,7,7996,8
Dude it's very crispy,krakenbrutal,31/05/2022,8,3392,4
Couple killed in accident,krakenbrutal,31/05/2022,4,3206,3
Another idiot who dies in a motorcycle accident,krakenbrutal,31/05/2022,6,3050,6
Crispy Mur Meat,krakenbrutal,31/05/2022,7,1768,5
rotten body,krakenbrutal,31/05/2022,7,2314,4
"Faces of Death, Man Victim of Murder on a Farm",jason2000,30/05/2022,27,80268,38
"And the Darwin Award for May, Goes to......",jason2000,30/05/2022,28,45354,37
Unrecognizable Man's Body Crushed by a Huge Truck,User404,30/05/2022,25,40904,36
Gang Girl Executed at Point Blank Range,User404,30/05/2022,68,339178,174
Waiting For That Right Moment,BruceLeroy,30/05/2022,43,43346,38
Yelling Traffickers Behead Rival with a Small Knife,InnerInsanity,30/05/2022,12,33208,17
"Damn, Get Out of My Way...",krakenbrutal,30/05/2022,29,29832,24
"Police Detectives Shoot Auto Theft Suspect In Albuquerque, New Mexico",User404,30/05/2022,33,73884,48
Cartel Interrogates and Executes Rival,krakenbrutal,30/05/2022,72,185882,85
 Strong blow in water park,krakenbrutal,30/05/2022,27,17076,15
"South Africa - Truck Accident, Mass Casualties",BigBossXXX,30/05/2022,12,8664,11
Man Attacks His Ex Girlfriend with Machete,jason2000,29/05/2022,40,113462,63
Lunch Suddenly Interrupted by Assassin (New Angle),jason2000,29/05/2022,20,60826,30
Man persecuted and murdered in Fortaleza Brazil ,jason2000,29/05/2022,9,5050,6
Ripping out the Heart,jason2000,29/05/2022,32,98256,31
crushed by truck,krakenbrutal,29/05/2022,9,4670,5
DAMN: Final Destination Tree Falling Edition (Brutal),User404,29/05/2022,40,80896,40
Woman was crushed after a Man forgot to pull up the handbrake in his car in Tianchang City,Roger_From_England,29/05/2022,13,3974,8
Take away bicycle collides into a taxi in Zhejiang,Roger_From_England,29/05/2022,8,2942,6
Accident in Dazhou City,Roger_From_England,29/05/2022,5,3012,9
minivan collided into cyclist in Fengyang County,Roger_From_England,29/05/2022,12,3518,6
two children were run over by a car in Jinhua City,Roger_From_England,29/05/2022,8,2836,6
Accident in Anhui,Roger_From_England,29/05/2022,7,2420,9
Punjabi singer and Congress Leader Shri Sidhu Moose Wala,krakenbrutal,29/05/2022,32,47826,26
They were shot at in their car.,krakenbrutal,29/05/2022,7,7018,10
Man died in a zebra crossing Accident in Changzhou,Roger_From_England,29/05/2022,10,2614,6
Airstrike,krakenbrutal,29/05/2022,10,18942,12
Motorcycle becomes self-aware and crashes into a man in Guangdong ,Roger_From_England,29/05/2022,5,3272,5
motorcyclist hit for truck,krakenbrutal,29/05/2022,7,3442,5
Hitmen come to do their job,krakenbrutal,29/05/2022,5,7544,7
What a good mass of meat,krakenbrutal,29/05/2022,16,8216,5
soldiers killed in battle,krakenbrutal,29/05/2022,21,29482,14
Several people fall out of the van lol,krakenbrutal,29/05/2022,16,5860,12
Young cyclist shot to death,krakenbrutal,29/05/2022,4,4244,4
body in a state of putrefaction,krakenbrutal,29/05/2022,12,6082,7
Cjng interrogating and executing Sierra Birds members,krakenbrutal,28/05/2022,71,184876,138
Attack on Ruskie Trash,-GIZMO-,28/05/2022,15,22400,28
Stupid term knocked out,krakenbrutal,28/05/2022,10,16764,18
Biker ends up under the car,krakenbrutal,28/05/2022,10,4022,5
The truck lost control and hit several people.,krakenbrutal,28/05/2022,15,6684,14
Dead girl on the tree,krakenbrutal,28/05/2022,9,12848,7
Dude had a bad day,krakenbrutal,28/05/2022,14,9766,9
Don't go through a red light,krakenbrutal,28/05/2022,8,6838,7
Zaporozhye region. Ukrainian artillery gave the orcs a hell of a party,nurgeld,28/05/2022,14,21662,31
person got a mass of meat,krakenbrutal,28/05/2022,7,7878,6
body floating in water,krakenbrutal,28/05/2022,6,3222,6
The Law of the Pistol in Favelas,krakenbrutal,28/05/2022,11,51572,21
Dude didn't have a good trip,krakenbrutal,28/05/2022,9,5566,6
Man die,krakenbrutal,28/05/2022,7,5354,4
Thief chased and gets his therapy lol,krakenbrutal,28/05/2022,9,5084,8
Extreme Road Carnage ...Totally Mangled.,jason2000,28/05/2022,36,71184,44
Lunch Suddenly Interrupted by Assassin,jason2000,27/05/2022,44,112156,71
Woman brutally beaten by ex boyfriend,jason2000,27/05/2022,6,8416,12
Motorcyclist dies when colliding with bus,jason2000,27/05/2022,6,5344,5
Irish teens attack couple passing by,MacGyver3271,27/05/2022,24,18060,13
Impatient customer attacks man ,MacGyver3271,27/05/2022,21,14700,16
Two motorcyclists were hit by a car in Zhejiang,Roger_From_England,27/05/2022,5,1986,7
Zebra crossing Accident in Guangdong,Roger_From_England,27/05/2022,8,2262,7
180° Accident in Hebei,Roger_From_England,27/05/2022,9,5270,8
Here Comes The Truck!,BruceLeroy,27/05/2022,26,46648,31
Woman dies after being hit by a car in Guangdong,Roger_From_England,27/05/2022,4,2198,6
Pretty Girl with Boobs and Ass Hanging Out after Murder,jason2000,27/05/2022,48,240812,94
Motorcyclist was dragged under a truck in Deyang City,Roger_From_England,27/05/2022,7,1776,5
BMP occupiers ride a mine in the Zaporozhye region,nurgeld,27/05/2022,11,18180,28
Petrol pump accident in Sichuan,Roger_From_England,27/05/2022,5,3546,5
Accident in Guangdong,Roger_From_England,27/05/2022,5,2570,6
Young man brutally stabbed to death,krakenbrutal,27/05/2022,7,6132,8
Woman Gets Stabbed Several Times at Nightclub,jason2000,27/05/2022,37,80908,33
Biker passed out with his leg severed,jason2000,27/05/2022,7,4238,5
From Javelin With LoVe,-GIZMO-,27/05/2022,33,85986,68
Argument Between Brothers Ends In Murder,BruceLeroy,27/05/2022,23,47556,28
Meeting An Old Rival Ends With BRUTAL Homicide In Brazil,jason2000,27/05/2022,32,129778,35
The armored personnel carrier of the occupiers was ambushed,nurgeld,27/05/2022,26,110032,74
"Neighborhood dispute, in rural China",krakenbrutal,27/05/2022,12,7860,9
Man crushed by truck,krakenbrutal,27/05/2022,11,4334,6
Pretty woman dies in accident,krakenbrutal,27/05/2022,26,76824,33
dies in tragic accident,krakenbrutal,27/05/2022,5,4806,6
Rescue of drowned man's body,krakenbrutal,27/05/2022,7,2770,5
Another day on Chicago ,TheIsaiahB47,27/05/2022,15,10954,11
Police Eliminate Man Threatening To Detonate Bomb,BruceLeroy,26/05/2022,27,57874,42
"What the fuck is this world, child shot",jason2000,26/05/2022,43,24664,25
Shocking CCTV Shows Man Repeatedly Kicking Homeless Man In The Face,User404,26/05/2022,52,105734,67
Hitman Shoots His Target At Long Range In Thailand,User404,26/05/2022,65,180918,103
thief punished by mob,jason2000,26/05/2022,12,9396,7
Gas Station Robber Fatally Shot By Police In Chile,User404,26/05/2022,14,29098,28
Examination Of Woman Who Died From Hanging,Gutsy,26/05/2022,16,100158,40
Heavy Fire On Orc Camp!,-GIZMO-,26/05/2022,31,52352,52
Thief Taught Quick But Painful Lesson,BruceLeroy,26/05/2022,61,146500,132
Drugged Portland Moron Paints Window In Red,Buzzou,26/05/2022,41,44142,43
Cartel Show Off Dead Rivals And Their Heads On Spikes,TheFriendlyPsychopath,26/05/2022,33,120408,60
Security Guard Gunned Down During Robbery,BruceLeroy,25/05/2022,10,20548,24
Shocking Moment a Man Is Stamped on the Head In Dublin Airport's Departures Terminal Following Mass Brawl as Families Cower In Terror,InnerInsanity,25/05/2022,31,49610,29
DAMN: Russian has an arrow stuck in his head,jason2000,25/05/2022,44,52188,41
TORTURE AROUND THE WORLD: Each Country Is Special,User404,25/05/2022,31,169522,71
Houston Police Releases Shooting that Killed Jalen Randle,User404,25/05/2022,60,129948,66
Ukrainian Artillery Destroys Orc Targets,-GIZMO-,25/05/2022,24,39578,48
Student hit by runaway car,krakenbrutal,25/05/2022,11,7798,10
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers,User404,25/05/2022,101,224222,176
Careless woman hit by truck,krakenbrutal,25/05/2022,7,5420,7
Even the Dogs Want You Dead In Vietnam,krakenbrutal,25/05/2022,52,93536,59
Florida Deputies Shoot Suspect Hiding in Locked Shed After He Pointed Gun At Them,User404,25/05/2022,27,99114,41
Be careful that can be dangerous,krakenbrutal,25/05/2022,7,7202,9
"Biker Talking To His Mate Executed By Sicario In Guayaquil, Ecuador",krakenbrutal,25/05/2022,16,29564,22
Chain Snatching Turns Into Cold Blooded Murder,BruceLeroy,25/05/2022,28,83654,51
Brawl in Virginia leads to one death,TheIsaiahB47,25/05/2022,15,13900,10
Victim of a serious accident without the leg,jason2000,25/05/2022,2,5092,4
"Fat man kills a thin, long-haired boy",jason2000,25/05/2022,12,12490,10
Ukrainian artillery expels occupiers in Donbas,nurgeld,25/05/2022,19,24850,26
"ANOTHER DAY, ANOTHER FACEBOOK SUICIDE",jason2000,24/05/2022,75,255538,150
woman dies and her feather was taken away,jason2000,24/05/2022,9,10042,5
Driver wrecks car in LA. Immediately surrounded by people who loot,TheIsaiahB47,24/05/2022,37,42310,35
When You Put Too Much Trust Into the Safety Rope...,User404,24/05/2022,37,110750,59
Downed Drone Crashes Killing Three In Yemen,BruceLeroy,24/05/2022,20,40538,22
Guy Ends It All On Transmission Tower,BruceLeroy,24/05/2022,59,87050,76
"Mentally Ill Man Burns His Family , Apartment & Commits Suicide In Egypt",User404,24/05/2022,39,86136,56
crushed head,MauricioGoree,24/05/2022,32,29484,25
Hitmen arrive at the party,krakenbrutal,24/05/2022,12,10912,9
A Policeman Defended Himself Against the Shots When they Wanted to Steal His Car: A Dead Thief and Another Fugitive,azacel23,24/05/2022,26,37414,47
All it Takes is One Mistake with a Bull (Action & Aftermath) ,User404,24/05/2022,65,198486,131
Man Chased And Executed By Gunman.,jason2000,24/05/2022,20,35662,36
damn how did this happen,jason2000,24/05/2022,14,8442,9
Broken head in accident,jason2000,24/05/2022,7,4608,4
"Battle WWI (fake, old movie clip)",bangcrash,24/05/2022,10,16662,14
Ukrainian soldiers eliminated,krakenbrutal,24/05/2022,20,54850,22
"The woman knows the punishment, favela style",krakenbrutal,24/05/2022,28,107274,47
Dead man in the field,krakenbrutal,24/05/2022,7,2882,4
Another silly women's fight,krakenbrutal,24/05/2022,14,7806,9
fatal motorcycle crash,krakenbrutal,24/05/2022,12,8464,4
Relentless Murder of Distracted Victim,jason2000,24/05/2022,24,64120,39
Asian Family owned Jewelry employees fight off Robbers In Cali,TheIsaiahB47,23/05/2022,17,8650,18
Fort Worth Officer Slams Handcuffed Public Intoxication Suspect,TheIsaiahB47,23/05/2022,9,5532,8
WWII COMPILATION VERY RARE,bangcrash,23/05/2022,22,64118,42
Mad Cow Gores Helpless Woman In India,User404,23/05/2022,52,113166,60
Dashcam footage of suspect shooting at police during pursuit,TheIsaiahB47,23/05/2022,9,6092,4
19-Year-Old Hacked to Death by Trio In India,User404,23/05/2022,39,112414,62
Never try to fuck Colombian bulls,jason2000,23/05/2022,10,10004,16
New confrontation in culiacan Sinaloa Mexico,krakenbrutal,23/05/2022,9,21206,13
Thief how about going to hell,jason2000,23/05/2022,9,10168,11
Chinese Businessman Brutally Hammered to Death During Robbery,User404,23/05/2022,30,91164,62
Nigeria: Bus catches on fire with people trapped inside,WonderfulPieceOfShit,23/05/2022,17,10396,11
A truck crashed into Two motorcyclists in Sichuan,Roger_From_England,23/05/2022,4,2268,4
"Gut executed in his car. Vega Baja, Puerto Rico.",Quincon,23/05/2022,10,11214,8
Accident in Longnan city,Roger_From_England,23/05/2022,5,2096,2
2 were hit by a car in Xichang City,Roger_From_England,23/05/2022,3,1548,5
Old man was hit by a car in Baoding City,Roger_From_England,23/05/2022,3,2012,3
Car crashed into motorcyclist in Leshan City,Roger_From_England,23/05/2022,10,4844,8
180° Accident in Wuhu City,Roger_From_England,23/05/2022,5,1758,2
Death To The Invaders!,-GIZMO-,23/05/2022,13,28316,36
3 on a bike were hit by a car in Jiangxia,Roger_From_England,23/05/2022,6,1668,4
passenger was thrown out of his seat after a bus Accident in Guangxi,Roger_From_England,23/05/2022,6,4224,5
Pothole Accident in Shenzhen,Roger_From_England,23/05/2022,9,2924,6
3-year-old girl hit by a car in Hangzhou,Roger_From_England,23/05/2022,16,6264,6
Retired Police Officer Shoots Himself In The Head,jason2000,23/05/2022,38,179416,108
HOLY SHIT! SCIENCE CAN'T EVEN EXPLAIN HOW HE'S ALIVE,jason2000,23/05/2022,36,96056,39
Man shot to death vomiting blood ,jason2000,23/05/2022,11,10016,7
Small machete cut on arm,jason2000,23/05/2022,8,4384,4
"Hostage Taker Receives A Headshot From SWAT Team In Ipil, Zamboanga Sibugay",BruceLeroy,23/05/2022,32,54242,57
Ukrainian paratroopers destroyed a unit of the 76th airborne.,nurgeld,23/05/2022,15,33040,40
United Airlines Worker Gets More Than He Bargained For (Full Video),TheIsaiahB47,23/05/2022,19,11086,19
"Hit-and-run Crash Leaves 1 Dead, 6 injured In New Jersey",Gutsy,23/05/2022,24,48292,32
brutally beaten to death,krakenbrutal,23/05/2022,6,4882,5
tragic motorcycle ride,krakenbrutal,23/05/2022,9,6332,6
Serious infection in the legs,krakenbrutal,23/05/2022,7,5472,5
Horseman charged by angry bull,krakenbrutal,23/05/2022,14,6248,10
Son of a bitch gets into a women's fight,krakenbrutal,23/05/2022,23,69590,20
Dead Ukrainian soldiers,krakenbrutal,23/05/2022,14,15520,14
Dead woman pulled from the water,krakenbrutal,23/05/2022,4,4120,2
ornament on the bridge,krakenbrutal,23/05/2022,3,3244,3
The man went to fish food,krakenbrutal,23/05/2022,8,4882,5
pregnant woman was killed,krakenbrutal,23/05/2022,6,15926,5
Double murder,krakenbrutal,23/05/2022,4,4176,2
dead man find,krakenbrutal,23/05/2022,4,3018,1
African tourists in a Japanese restaurant,jason2000,23/05/2022,19,16132,15
A Little Entertainment For The Crowd,BruceLeroy,22/05/2022,29,53166,45
Dumb & Dumber Vs. Petrol Pump,User404,22/05/2022,33,42322,35
"Damn, driver in a giant pickup crushes worker",jason2000,22/05/2022,19,8676,13
Man stabbed and his guts come out,jason2000,22/05/2022,17,8754,7
That Time I Accidentally Blew My Friend's Brains Out ,krakenbrutal,22/05/2022,46,108080,59
Woman Loses her Arm in Accident,Puligore,22/05/2022,20,74100,33
Another woman beaten by her husband,krakenbrutal,22/05/2022,16,13140,12
end up under the truck,krakenbrutal,22/05/2022,10,5250,11
Bad Day In Workshop,krakenbrutal,22/05/2022,70,140026,76
Get out of my way,krakenbrutal,22/05/2022,17,6678,15
An idiot thief.,almatrafy,22/05/2022,3,5242,6
Welcome to Ukraine Suka,nurgeld,22/05/2022,36,82078,65
Woman cruelly beaten by huge man,jason2000,22/05/2022,16,41780,28
STRONG VIDEO: A Drone Attack On Community Police In Michoacán Is Broadcast,Razzia,22/05/2022,41,129936,76
Man dies after being planned by kite truck,jason2000,21/05/2022,13,9272,13
fuck fuck everyone,jason2000,21/05/2022,27,21244,26
The decapitated head of a previously kidnapped Anambra legislator.,Razzia,21/05/2022,8,5494,6
Welcome To The Jungle Motherfucker,BruceLeroy,21/05/2022,139,279964,232
4-Year-Old-Child was hit by a car in Dazhou City,Roger_From_England,21/05/2022,6,3744,5
